ID,YEAR_STA,TARGET,WHERE,REGIOTYP,BUYPOWER,CASATYP,STRTYP,VAL_TIER,FAMGROUP,AGEGROUP,ANTDT,ANZHH,ANZGEW,CAR_DENS,CAR_PERF,PROB_BUS,PROB_AUT,PROB_JEE,TYP1,TYP2,TYP3,TYP4,TYP5,TYP6,TYP7,TYP8,TYP9,PROB_DAILY,PHARM1,PHARM2,PHARM3,PHARM4,PHARM5,PHARM6
"298,388","1,995",0,0,16,7,1,1,2,4,5,9,1,0,8,7,6,7,0,5,6,3,6,5,1,7,7,3,7,7,6,5,4,2,3
"366,901","1,996",0,0,15,8,3,1,8,1,4,2,7,0,7,1,0,9,2,7,5,1,2,7,7,1,4,3,4,6,5,2,7,3,4
"92,649","1,993",0,0,11,4,3,1,6,1,5,8,6,0,3,9,0,4,0,7,1,5,4,6,7,1,4,5,3,2,7,4,6,6,4
"375,570","1,997",0,0,12,8,4,1,7,2,3,6,19,0,8,5,0,5,2,7,4,5,6,2,2,6,2,7,8,1,5,2,3,5,2
"310,510","1,995",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"345,590","1,996",0,0,11,2,2,2,6,2,4,8,5,1,3,4,6,7,0,6,1,1,4,1,3,1,5,5,3,1,4,3,2,7,3
"363,206","1,996",0,0,11,3,2,1,5,3,4,1,3,1,3,8,0,7,0,3,1,4,5,7,5,2,2,5,5,3,6,3,5,4,1
"335,330","1,996",0,1,16,-9,2,1,7,9,4,5,4,1,4,1,0,3,2,2,2,1,5,5,4,1,5,3,,4,2,7,6,3,7
"66,701","1,990",0,0,16,4,1,1,8,4,2,2,2,0,7,2,,5,1,,,,,,,,,,,,,,,,
"322,003","1,996",0,1,16,-8,1,4,4,2,6,9,1,0,2,1,0,1,0,1,4,5,2,3,5,1,2,1,,2,1,3,7,3,7
"56,659","1,987",0,0,14,3,1,1,3,8,6,2,2,0,2,1,6,1,2,2,6,4,6,4,5,4,7,2,3,1,7,6,6,3,4
"80,947","1,990",0,1,14,-7,1,1,5,9,4,8,1,0,10,2,0,2,0,5,5,5,1,5,5,5,2,4,,7,2,1,4,6,6
"96,477","1,992",0,0,14,6,1,2,1,7,3,7,2,0,10,5,6,3,1,6,1,1,2,4,1,1,1,6,3,5,2,4,7,2,3
"393,245","1,997",0,0,12,8,2,1,5,3,5,5,5,0,4,9,6,5,0,7,5,7,6,7,7,7,5,3,4,5,3,6,4,6,2
"364,789","1,996",0,0,12,9,1,3,1,4,5,5,2,0,9,7,0,5,2,2,7,3,5,5,4,7,3,2,5,6,2,2,3,4,7
"251,212","1,994",0,0,11,2,1,4,5,5,3,9,1,0,5,4,6,3,0,1,1,2,2,7,1,1,2,7,2,5,6,1,6,5,1
"219,581","1,994",0,1,11,-3,4,1,7,3,4,5,11,1,5,5,0,2,0,3,3,1,2,3,5,4,2,5,,2,5,7,4,3,2
"242,472","1,994",0,0,12,6,4,2,9,2,3,3,10,3,7,3,0,8,2,5,1,4,7,4,7,6,1,6,6,1,2,6,4,5,1
"26,177","1,991",0,0,12,8,1,1,1,9,4,4,1,0,4,8,6,1,0,3,1,4,3,3,7,2,3,3,5,7,5,7,4,2,1
"386,113","1,997",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"212,035","1,994",0,1,15,-4,1,3,3,6,7,9,2,0,7,6,0,6,2,3,1,1,2,4,3,4,4,2,,6,6,7,5,4,6
"369,885","1,997",0,0,14,4,2,1,9,3,5,2,5,0,7,5,6,6,3,7,1,6,1,4,7,1,7,2,3,3,3,4,5,4,4
"366,093","1,996",0,0,14,6,4,1,5,4,5,2,10,0,4,4,6,1,0,7,5,6,4,5,1,5,6,5,8,5,2,2,7,2,4
"334,585","1,996",0,0,13,9,3,1,5,5,3,9,6,0,7,3,6,1,0,2,2,5,3,3,1,1,3,4,1,4,3,3,2,7,2
"66,139","1,978",0,0,16,8,1,3,6,6,4,9,1,0,5,8,6,3,3,7,5,6,6,4,4,6,5,7,3,1,3,3,4,7,2
"85,196","1,991",0,1,14,-9,1,1,2,3,4,6,1,0,10,2,0,4,2,2,3,2,1,5,1,5,1,5,,7,3,7,4,2,1
"25,652","1,973",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"309,762","1,995",0,1,12,-4,1,1,5,8,4,3,1,0,6,3,3,4,0,1,3,1,3,4,2,1,3,1,,1,3,2,5,2,6
"8,120","1,993",0,0,15,5,1,1,1,7,4,5,1,0,1,3,3,9,3,5,5,4,2,1,1,5,1,2,6,1,3,2,6,2,6
"331,594","1,996",0,0,16,2,1,1,1,8,5,9,1,0,6,6,3,5,1,7,2,3,3,1,6,6,6,4,8,3,4,4,7,3,4
"374,132","1,997",0,0,16,4,1,4,2,3,5,2,1,0,2,7,6,7,2,5,5,7,6,1,4,7,2,6,3,1,7,6,3,6,4
"351,149","1,996",0,1,15,-5,3,1,4,2,6,9,8,0,4,3,3,2,2,5,2,4,4,4,4,3,2,2,,1,1,7,7,5,7
"88,570","1,993",0,1,14,-1,1,1,2,8,4,8,1,0,9,4,3,3,0,3,5,5,4,3,5,5,4,2,,7,2,3,2,6,4
"102,162","1,993",0,0,12,7,3,1,7,2,5,3,8,0,8,9,6,7,0,6,4,5,5,4,2,2,5,1,6,1,4,6,4,7,1
"389,053","1,997",0,0,15,3,1,1,1,5,5,4,1,0,7,4,0,2,0,5,7,1,5,3,2,4,4,2,8,6,1,4,7,2,6
"371,770","1,997",0,0,13,5,2,1,6,9,5,7,5,1,10,7,3,9,1,6,3,5,6,3,4,6,1,1,2,2,3,2,5,4,6
"56,075","1,988",0,0,15,3,1,3,6,9,5,6,2,0,4,6,3,3,2,5,4,5,1,4,2,2,1,3,4,4,1,7,3,5,4
"380,853","1,997",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7,201","1,993",0,0,16,1,1,3,2,8,5,4,1,0,9,4,0,5,0,5,1,4,4,2,4,7,5,2,4,2,3,4,7,3,3
"265,257","1,995",0,0,13,2,2,1,8,2,5,8,3,0,1,3,0,9,0,5,6,2,1,5,7,2,2,2,7,6,7,3,7,2,3
"390,751","1,997",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"33,504","1,987",0,0,15,6,1,4,1,7,5,7,2,1,10,8,6,5,3,1,7,1,7,4,6,6,1,1,6,4,5,3,6,2,2
"341,547","1,996",0,0,11,2,4,3,8,2,5,3,16,3,3,5,6,9,0,4,4,6,4,3,3,6,5,7,2,5,4,1,1,6,3
"311,148","1,995",0,0,16,5,2,1,8,6,3,4,3,0,8,8,0,7,0,4,2,4,7,2,5,7,6,5,1,1,4,5,3,2,5
"375,936","1,997",0,0,15,2,3,1,9,4,4,4,7,0,2,1,6,8,0,1,1,6,6,1,6,1,2,5,3,4,6,7,6,6,5
"9,823","1,974",0,0,15,6,3,1,3,1,5,4,7,0,2,6,3,3,0,7,3,7,2,2,4,3,1,1,8,7,2,3,6,5,3
"392,744","1,997",0,0,13,4,2,2,6,5,5,2,5,1,5,6,6,6,3,7,7,1,1,3,1,3,3,6,2,7,6,5,3,4,1
"247,761","1,994",0,0,14,6,3,3,9,9,5,6,6,0,9,5,3,1,0,7,7,4,5,6,3,4,6,4,8,1,6,7,4,2,1
"55,930","1,993",0,0,13,7,1,4,7,4,4,8,2,0,7,6,3,5,1,2,2,2,4,7,1,3,2,1,1,5,6,7,4,5,6
"385,319","1,997",0,1,16,-9,3,1,4,2,5,4,8,0,3,1,3,1,0,3,2,1,3,1,1,1,1,2,,1,5,5,7,1,2
"334,571","1,996",0,0,12,5,1,1,4,6,4,1,2,0,5,2,3,6,0,6,3,5,7,3,6,4,5,3,8,6,5,6,5,5,4
"352,613","1,996",0,0,13,3,2,1,8,5,4,4,5,1,4,6,3,5,0,1,6,1,7,2,7,7,3,6,2,4,3,6,5,6,2
"229,479","1,994",0,1,13,-7,2,1,9,2,4,6,4,0,10,2,3,5,0,5,2,4,2,4,1,4,1,5,,4,2,5,2,1,7
"82,348","1,990",0,1,13,-2,1,3,9,4,3,8,2,0,4,5,0,2,0,5,1,4,4,1,1,4,2,1,,1,5,3,1,5,1
"351,198","1,996",0,1,11,-3,1,1,7,4,4,2,1,0,8,1,0,9,2,3,2,3,4,2,1,3,1,2,,7,5,7,4,4,5
"380,875","1,997",0,0,12,9,1,1,2,6,4,3,1,0,4,7,3,2,0,2,3,2,3,2,6,5,7,5,3,7,5,5,2,5,2
"362,435","1,996",0,0,16,3,2,3,9,3,3,6,3,0,10,2,3,8,0,3,3,7,1,1,7,7,7,3,7,6,3,6,7,4,5
"84,563","1,993",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"374,102","1,997",0,0,12,8,4,1,7,3,4,1,10,0,7,7,0,9,0,2,3,7,2,4,5,7,7,6,5,1,3,4,4,2,1
"365,012","1,996",0,0,16,3,1,1,1,8,4,6,1,0,8,7,6,8,3,3,5,2,7,6,5,5,1,3,7,3,4,7,3,2,3
"364,429","1,996",0,0,15,3,1,1,7,7,5,5,1,0,9,6,6,9,0,4,7,2,4,5,6,3,2,5,5,6,7,2,6,2,4
"97,241","1,992",0,0,16,5,1,1,5,9,3,1,2,0,8,6,6,8,1,1,5,1,6,7,3,3,4,6,7,7,3,5,3,4,3
"229,286","1,994",0,0,15,7,4,1,9,2,5,2,13,1,4,4,0,8,0,1,7,7,2,7,7,3,1,1,1,1,3,6,6,4,4
"38,277","1,988",0,0,15,2,1,3,4,8,5,4,2,0,3,9,6,2,0,3,6,4,4,6,7,3,2,2,8,4,1,7,4,4,4
"317,372","1,996",0,0,16,6,1,1,3,9,4,5,1,0,7,10,0,6,1,1,5,6,4,1,1,7,6,6,1,7,2,5,6,5,5
"261,083","1,995",0,1,13,-1,1,1,1,7,4,8,1,0,4,3,6,1,2,1,3,2,3,4,2,3,4,2,,7,3,3,5,3,2
"59,659","1,987",0,0,11,8,3,1,5,6,4,9,6,1,3,4,0,4,0,2,1,2,3,7,7,1,2,4,6,6,1,5,2,6,4
"58,700","1,993",0,0,15,1,1,3,5,9,5,5,2,1,10,1,6,9,1,5,5,5,2,3,2,2,1,2,7,5,1,7,5,3,2
"383,853","1,997",0,0,14,5,1,1,2,9,5,2,1,0,10,6,6,4,3,5,7,1,2,3,2,1,6,2,5,3,1,3,7,2,6
"348,968","1,996",0,1,15,-6,1,4,3,4,4,5,1,0,7,6,6,4,2,3,3,3,3,5,2,5,4,1,,1,6,7,7,1,3
"393,390","1,997",0,0,12,9,1,2,3,5,4,3,2,0,7,8,0,6,0,6,1,6,6,5,6,6,3,7,6,7,3,1,2,7,2
"367,168","1,996",0,0,16,2,1,1,3,1,4,6,1,0,10,2,3,4,1,1,6,1,5,6,7,7,7,6,5,5,4,4,7,4,2
"393,205","1,997",0,0,11,6,4,1,7,1,4,3,14,0,1,9,0,3,3,6,5,1,3,3,6,1,3,7,2,3,7,3,6,1,5
"92,676","1,985",0,0,11,6,4,1,9,2,5,1,11,1,2,6,0,4,2,7,3,7,1,1,6,4,2,7,2,3,7,3,6,1,2
"41,545","1,993",0,0,12,9,2,1,5,1,5,7,3,0,5,7,3,3,0,4,1,7,6,1,6,7,5,6,4,2,2,5,2,4,7
"64,710","1,990",0,0,15,2,1,2,7,6,4,1,1,0,5,1,6,9,0,1,7,1,6,1,7,5,3,2,8,6,7,2,6,1,6
"286,487","1,995",0,0,12,9,1,3,1,5,5,9,2,0,7,10,0,2,0,6,6,6,1,7,4,2,3,3,7,2,7,7,6,7,1
"301,369","1,995",0,0,13,3,1,1,2,6,4,6,1,1,7,9,6,2,2,7,7,1,7,6,6,5,7,7,7,5,3,6,3,6,2
"370,448","1,997",0,0,12,3,1,1,7,3,4,7,2,0,4,6,6,2,1,2,4,6,6,2,2,7,1,7,1,3,3,5,7,1,1
"354,722","1,996",0,0,14,7,1,1,3,9,4,5,1,0,6,10,0,3,0,1,5,1,5,2,1,1,4,2,7,3,6,6,3,5,1
"367,727","1,996",0,0,12,7,1,1,1,3,4,2,2,0,3,9,0,3,0,2,6,1,6,6,7,2,4,3,6,2,6,6,2,4,3
"390,688","1,997",0,1,12,-8,1,1,3,7,4,5,1,0,5,2,0,4,2,1,2,5,2,3,3,4,3,1,,6,2,1,7,5,6
"364,148","1,996",0,0,12,9,1,1,2,8,5,3,2,0,5,10,6,5,0,6,6,6,7,2,4,5,1,7,5,1,1,5,4,4,7
"45,631","1,974",0,0,14,7,1,1,2,9,3,8,2,1,9,7,3,6,2,2,4,1,5,3,1,4,5,4,5,2,7,6,4,4,5
"65,108","1,993",0,0,12,4,3,1,7,8,5,2,9,0,7,3,3,5,0,6,1,5,1,2,2,5,3,6,1,6,5,3,5,3,3
"7,991","1,993",0,0,16,4,1,1,3,7,4,1,1,0,7,6,6,5,0,6,5,3,3,2,4,7,7,6,8,1,2,5,7,3,2
"78,057","1,993",0,1,16,-8,1,1,3,8,5,8,1,0,8,1,0,5,0,5,4,4,3,5,4,1,1,2,,5,2,2,4,7,7
"358,083","1,996",0,0,11,8,1,3,7,5,3,4,2,0,3,8,0,6,0,6,6,5,1,1,2,5,7,6,1,4,3,2,5,5,3
"32,441","1,900",0,0,14,1,1,1,2,8,5,5,2,0,8,5,3,8,0,1,7,4,6,7,5,7,3,3,8,3,3,4,7,4,2
"48,851","1,984",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"378,107","1,997",0,0,12,4,1,1,3,5,3,1,1,0,6,2,0,6,2,7,5,2,7,4,3,7,2,5,1,2,6,7,6,6,5
"36,503","1,991",0,0,11,4,3,1,8,7,5,6,7,0,3,7,3,7,2,5,1,7,5,4,6,4,5,5,3,3,7,4,5,6,1
"281,032","1,995",0,0,14,6,1,2,3,8,5,4,2,0,9,6,6,2,0,3,5,1,3,3,6,1,4,2,3,2,7,6,6,4,2
"87,648","1,993",0,1,15,-6,1,3,1,6,4,9,1,0,1,1,3,9,0,4,2,1,5,4,1,1,1,3,,6,2,3,4,4,3
"353,440","1,996",0,0,15,3,1,1,3,7,4,4,2,0,3,5,6,6,3,4,4,6,5,5,3,6,7,7,2,1,4,7,5,2,2
"28,069","1,993",0,0,12,7,1,2,5,4,5,9,1,0,9,6,6,6,1,1,7,7,6,3,4,7,2,7,2,4,5,3,4,7,1
"241,515","1,994",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"27,788","1,993",0,0,14,4,1,1,3,7,4,6,1,0,10,3,6,4,0,7,5,4,7,6,6,7,3,3,1,3,4,7,2,4,3
"372,917","1,997",0,0,16,1,1,4,1,9,6,2,1,0,10,5,6,3,2,4,6,1,4,1,7,1,2,1,4,5,6,1,1,4,6
"245,457","1,994",0,0,12,8,1,1,2,5,5,2,2,0,9,8,3,6,2,7,6,2,4,7,5,6,1,5,7,7,3,2,2,7,2
"347,489","1,996",0,0,15,6,1,1,2,7,4,4,2,0,2,4,6,9,0,4,6,1,2,2,7,1,1,1,6,7,7,4,4,1,2
"354,794","1,996",0,0,12,8,2,4,3,3,5,1,5,0,4,5,6,8,0,1,3,7,4,2,1,7,4,4,1,1,2,2,5,4,6
"289,571","1,995",0,0,11,9,3,2,3,5,6,1,5,3,1,8,3,9,0,6,2,1,1,1,5,3,4,5,3,3,2,3,4,4,5
"311,106","1,995",0,1,16,-7,3,1,5,2,5,9,6,0,9,1,0,5,0,5,4,2,2,4,4,5,4,2,,7,7,3,7,1,1
"329,127","1,996",0,0,13,1,2,1,6,1,2,7,5,1,7,3,0,7,0,6,3,3,5,7,7,6,7,3,8,4,6,1,6,1,4
"76,420","1,992",0,1,15,-5,3,1,5,4,4,5,9,0,8,2,0,6,1,3,2,4,4,1,5,3,1,1,,5,4,2,5,3,6
"94,792","1,984",0,0,11,4,1,3,3,4,5,8,1,1,7,9,3,4,0,7,4,2,5,1,6,2,7,5,4,4,3,5,6,5,7
"249,192","1,994",0,1,12,-3,3,1,5,6,5,4,9,1,9,1,0,6,1,5,4,2,2,4,1,2,2,4,,1,3,7,5,5,1
"296,099","1,995",0,0,16,1,1,2,5,9,5,7,1,0,8,2,6,9,3,5,1,1,4,2,1,2,1,2,3,2,3,7,1,1,3
"286,280","1,995",0,0,15,3,1,1,2,6,4,5,1,0,7,4,3,8,3,6,6,3,3,6,2,4,2,3,4,2,7,6,3,5,5
"376,862","1,997",0,0,11,4,3,2,6,5,5,3,5,2,3,8,0,6,2,7,4,4,6,2,6,2,6,6,3,3,5,4,4,7,1
"11,441","1,993",0,0,14,5,2,1,9,5,4,1,5,0,4,3,6,1,0,7,1,5,7,4,1,5,5,5,8,1,6,6,7,6,2
"406,609","1,992",0,0,12,7,1,2,3,8,5,4,1,0,6,5,6,7,3,6,1,7,7,6,1,1,1,1,6,2,3,5,4,5,6
"219,607","1,994",0,0,15,8,3,1,6,3,6,5,6,1,8,8,3,7,2,7,7,6,1,3,1,3,7,7,1,5,1,5,4,6,6
"10,452","1,993",0,0,13,7,3,3,4,3,5,2,7,1,3,7,6,5,0,5,6,3,3,3,2,3,4,1,1,6,2,1,4,5,5
"301,707","1,995",0,0,12,3,1,2,8,9,3,6,1,0,10,5,6,3,0,2,1,2,1,3,7,4,2,6,8,5,6,1,4,4,1
"203,425","1,994",0,0,11,6,3,1,8,3,3,2,9,0,5,2,3,8,2,5,4,3,3,7,6,4,3,3,4,2,5,2,5,6,2
"366,316","1,996",0,0,11,9,1,1,1,1,5,8,1,0,4,3,6,5,2,2,4,5,3,7,2,1,3,5,1,5,3,1,3,7,1
"384,840","1,997",0,0,16,3,1,1,2,8,4,3,1,0,9,8,3,3,0,4,7,4,2,7,2,4,7,2,1,1,7,6,3,1,2
"377,152","1,997",0,1,15,-6,1,1,2,2,6,9,2,0,10,6,3,1,2,2,4,5,4,4,4,4,4,3,,6,4,7,3,7,2
"47,658","1,993",0,0,13,8,4,1,6,7,5,8,10,0,7,6,3,1,0,4,4,7,7,7,4,7,4,7,2,5,7,1,1,5,4
"387,712","1,997",0,0,15,3,1,3,8,9,4,4,1,0,10,1,6,7,1,6,5,3,2,4,4,4,4,7,6,5,7,2,6,1,5
"62,078","1,993",0,0,11,1,1,1,5,5,4,3,1,0,4,9,6,4,2,1,1,1,2,5,1,1,3,3,5,7,6,2,4,4,2
"79,112","1,992",0,1,14,-8,1,1,4,1,3,8,1,0,8,2,3,6,3,1,4,1,5,5,1,5,2,3,,5,2,1,2,6,5
"48,668","1,989",0,0,15,5,2,1,9,6,3,7,3,0,9,8,0,4,3,5,6,3,1,7,5,1,1,1,2,1,7,6,5,3,2
"356,653","1,996",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"329,784","1,996",0,1,12,-7,1,3,9,9,1,5,2,0,2,1,0,6,0,1,3,3,4,1,2,3,3,3,,3,2,3,5,5,4
"248,345","1,994",0,0,11,8,1,3,1,9,4,6,2,0,7,7,3,6,2,7,7,1,7,5,1,6,7,5,4,3,3,5,6,6,4
"379,244","1,997",0,0,15,4,1,1,8,9,4,3,2,0,4,10,6,6,0,1,1,7,1,7,6,6,1,2,7,6,4,2,5,2,3
"220,070","1,994",0,0,11,8,3,1,6,8,5,1,6,0,9,10,0,8,2,3,4,2,5,6,6,2,7,4,4,3,2,4,5,7,6
"320,984","1,996",0,0,12,5,2,1,9,5,3,1,5,0,5,4,3,6,0,7,6,7,4,4,5,6,7,6,6,3,5,3,6,5,2
"306,456","1,995",0,0,14,4,2,2,2,2,3,6,3,0,8,2,6,6,2,1,7,1,6,7,2,2,5,5,6,6,3,5,5,2,2
"334,718","1,996",0,0,12,8,2,1,3,3,5,6,3,0,8,9,0,6,2,7,1,3,5,1,6,6,1,7,7,1,3,4,3,5,6
"258,493","1,995",0,0,11,2,2,1,3,3,5,7,4,0,8,4,6,4,0,2,5,1,2,2,7,4,7,3,8,3,6,2,5,3,3
"345,628","1,996",0,0,16,6,1,1,1,8,5,9,2,0,7,6,6,7,2,7,7,4,3,3,7,6,7,5,7,6,4,2,4,4,3
"72,529","1,993",0,0,15,7,1,1,1,8,5,8,1,0,9,9,3,2,0,6,1,7,1,1,1,4,2,3,6,6,1,2,2,5,7
"204,421","1,994",0,0,12,8,1,1,4,5,7,9,2,0,4,8,0,2,0,3,5,5,6,5,2,5,6,4,8,2,6,6,3,7,3
"30,747","1,993",0,0,14,2,2,1,6,3,3,3,4,1,5,8,0,9,2,4,1,6,1,1,5,7,3,1,2,2,7,6,2,3,6
"375,042","1,997",0,0,14,8,2,1,4,4,4,1,5,1,8,4,0,4,2,4,3,3,4,6,3,3,4,2,6,7,6,5,2,2,1
"101,072","1,992",0,0,12,8,1,1,5,9,5,1,1,0,7,7,6,6,2,1,7,7,7,7,1,6,2,1,6,7,1,5,5,1,7
"314,296","1,996",0,0,11,5,5,1,8,5,5,3,23,0,4,6,3,8,0,1,1,7,2,7,1,2,5,5,3,6,7,2,6,6,1
"321,105","1,996",0,0,11,5,3,1,7,6,5,5,7,2,8,5,3,7,0,4,5,5,5,6,6,1,4,3,4,4,3,5,2,7,2
"34,376","1,975",0,0,15,5,1,1,5,6,5,8,1,0,4,2,6,6,3,3,7,2,3,7,4,6,1,5,5,1,7,5,3,2,3
"362,863","1,996",0,0,12,5,1,1,2,6,4,4,1,0,8,4,6,6,0,7,5,6,6,5,7,7,7,3,6,3,5,6,5,6,3
"308,745","1,995",0,0,13,6,3,1,5,2,4,1,9,0,8,9,6,9,0,5,4,3,7,3,1,3,7,7,3,5,4,2,7,1,5
"393,357","1,997",0,0,12,4,3,1,9,8,4,2,6,0,4,3,6,2,0,6,2,5,6,5,6,5,7,5,8,3,4,4,6,5,2
"391,885","1,997",0,0,12,6,1,1,1,8,4,8,2,0,9,8,6,2,1,1,7,1,6,5,4,7,6,7,1,5,2,6,7,2,5
"65,972","1,988",0,0,15,8,1,1,4,9,5,4,2,1,9,8,0,3,2,3,7,6,4,5,7,7,3,5,2,6,3,4,1,1,6
"346,939","1,996",0,0,15,2,1,1,4,8,5,8,1,0,5,9,3,3,1,2,1,2,6,4,2,3,5,3,7,4,6,1,7,1,5
